,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,Touchscreen,IPS,HDD,SSD,Hybrid,Flash_Storage
436,HP,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,2.1,31050,100.45,0,0,500,0,0,0
438,Lenovo,Ultrabook,Intel Core i7,24,512GB SSD,Intel HD,Windows 10,1.32,213141,209.8,0,0,0,512,0,0
439,Asus,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Linux,2.0,50019,141.21,0,0,0,256,0,0
440,Lenovo,Notebook,AMD A-Series,8,1TB HDD,AMD Radeon,Windows 10,2.8,46440,106.11,0,0,1,0,0,0
441,Dell,Notebook,Intel Core i5,4,256GB SSD,AMD Radeon,Windows 10,2.2,67021,141.21,0,0,0,256,0,0
442,Lenovo,Ultrabook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.36,127867,176.23,0,1,0,256,0,0
443,Lenovo,Notebook,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,2.2,31229,141.21,0,0,0,128,0,0
444,HP,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,98339,141.21,0,1,1,128,0,0
445,Dell,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.64,105497,157.35,0,0,0,256,0,0
446,Acer,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Linux,2.4,39532,100.45,0,0,500,0,0,0
447,Dell,Workstation,Other Intel Processor,8,64GB Flash Storage +  1TB HDD,Nvidia Quadro,Windows 10,2.23,178334,141.21,0,0,1,0,0,64
448,MSI,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,91962,141.21,0,0,0,256,0,0
450,HP,Notebook,Intel Core i5,8,128GB SSD,Intel HD,Windows 10,1.91,52704,100.45,0,0,0,128,0,0
451,Dell,Workstation,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows 10,2.17,176723,141.21,0,1,0,256,0,0
452,HP,Workstation,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,2.31,137262,141.21,0,1,0,512,0,0
453,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.65,120351,157.35,0,0,0,256,0,0
454,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.36,87601,141.21,0,0,1,128,0,0
455,Dell,2 in 1 Convertible,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,1.47,42861,135.09,1,0,500,0,0,0
456,Dell,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,4.42,183076,127.34,0,1,1,0,0,0
459,HP,Notebook,Intel Core i3,8,256GB SSD,Intel HD,Windows 10,2.5,57258,106.11,0,0,0,256,0,0
460,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.23,48677,141.21,0,0,1,0,0,0
461,Acer,Netbook,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,1.4,38924,135.09,0,0,0,128,0,0
462,Asus,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.37,67021,141.21,0,0,1,0,0,0
463,Lenovo,Notebook,Intel Core i7,8,512GB SSD,AMD Radeon,No OS,1.5,71495,157.35,0,1,0,512,0,0
464,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.67,187013,141.21,0,0,0,256,0,0
465,Asus,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,2.0,27202,100.45,0,0,500,0,0,0
466,Acer,Notebook,Intel Core i3,4,500GB HDD,Nvidia GeForce,Windows 10,2.2,41966,100.45,0,0,500,0,0,0
467,Dell,Notebook,Intel Core i5,8,2TB HDD,AMD Radeon,Windows 10,2.02,67915,141.21,0,0,2,0,0,0
468,HP,Gaming,Intel Core i7,12,1TB HDD,Nvidia GeForce,Windows 10,3.78,152027,127.34,0,1,1,0,0,0
469,Lenovo,Ultrabook,Intel Core i7,12,256GB SSD,Intel HD,Windows 10,1.4,166254,209.8,0,1,0,256,0,0
470,HP,2 in 1 Convertible,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.29,178871,331.26,1,1,0,512,0,0
471,HP,Notebook,Intel Core i5,8,500GB HDD,AMD FirePro,Windows 10,1.9,103260,141.21,0,0,500,0,0,0
473,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.42,164809,165.63,1,0,0,256,0,0
474,Asus,Notebook,Intel Core i7,12,128GB SSD +  1TB HDD,Intel HD,Windows 10,2.06,116235,282.42,0,1,1,128,0,0
475,Dell,Notebook,Intel Core i3,8,128GB SSD,Intel HD,Windows 10,1.79,66215,111.94,0,0,0,128,0,0
476,Dell,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,1.78,215468,141.21,0,0,0,256,0,0
477,Lenovo,Notebook,Intel Core i5,8,180GB SSD,Intel HD,Windows 10,1.7,122051,157.35,0,0,0,180,0,0
478,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.2,60399,141.21,0,0,1,0,0,0
479,Toshiba,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.05,149611,165.63,0,1,0,256,0,0
480,Dell,Notebook,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,2.16,112924,141.21,0,1,0,512,0,0
481,Dell,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.18,52489,100.45,0,0,1,0,0,0
482,HP,Notebook,Intel Core i5,4,128GB SSD,Intel UHD,Windows 10,1.49,64962,165.63,0,1,0,128,0,0
484,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.3,50556,100.45,0,0,0,128,0,0
485,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.75,93865,157.35,0,1,0,256,0,0
486,Dell,Workstation,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows 10,2.17,209204,141.21,0,1,0,512,0,0
487,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,169923,141.21,0,0,0,512,0,0
488,Lenovo,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.36,160885,176.23,0,1,0,512,0,0
489,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,0.91,174486,176.23,0,0,0,512,0,0
490,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.3,90553,141.21,0,1,0,256,0,0
491,Toshiba,Ultrabook,Intel Core i7,32,512GB SSD,Intel HD,Windows 10,1.05,250455,165.63,1,0,0,512,0,0
492,Asus,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.99,120798,141.21,0,0,1,128,0,0
493,Acer,Notebook,AMD A-Series,8,1TB HDD,AMD Radeon,Windows 10,2.2,51809,100.45,0,0,1,0,0,0
494,Asus,Gaming,Intel Core i7,24,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.33,113550,127.34,1,1,1,256,0,0
495,Lenovo,Ultrabook,Intel Core i5,8,180GB SSD,Intel HD,Windows 10,1.3,98339,125.37,0,1,0,180,0,0
496,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,2.17,80434,141.21,0,0,0,256,0,0
497,HP,Notebook,Intel Core i7,8,1TB SSD,Intel HD,Windows 10,1.48,156501,157.35,0,0,0,1,0,0
498,Lenovo,Notebook,Intel Core i3,8,256GB SSD,Intel HD,Windows 10,1.4,84917,165.63,0,1,0,256,0,0
499,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.3,81516,141.21,0,1,0,256,0,0
500,Asus,Netbook,Other Intel Processor,4,64GB Flash Storage,Intel HD,Windows 10,1.2,30423,135.09,0,0,0,0,0,64
501,HP,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,1.91,55387,100.45,0,0,0,256,0,0
503,Lenovo,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,2.1,26755,111.94,0,0,500,0,0,0
504,Lenovo,Netbook,Other Intel Processor,4,16GB SSD,Intel HD,Chrome OS,1.25,23712,135.09,0,0,0,16,0,0
505,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.44,84917,165.63,0,0,0,256,0,0
506,Asus,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD,Windows 10,2.0,109524,141.21,0,0,1,256,0,0
507,Acer,Notebook,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows 10,2.2,54851,141.21,0,1,1,0,0,0
508,HP,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.34,118382,165.63,0,1,0,512,0,0
509,Lenovo,Gaming,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.4,102813,141.21,0,1,1,256,0,0
510,Dell,Ultrabook,Intel Core i5,8,128GB SSD,Intel HD,Windows 10,1.29,80443,165.63,1,1,0,128,0,0
511,Acer,Notebook,Intel Core i7,4,500GB HDD,Nvidia GeForce,Windows 10,2.2,57178,141.21,0,0,500,0,0,0
512,Dell,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.18,74805,141.21,0,0,1,0,0,0
513,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.2,109098,141.21,0,0,2,256,0,0
515,Asus,Netbook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.1,21923,135.09,0,0,0,0,0,32
516,HP,Notebook,Intel Core i5,4,1TB HDD,Intel UHD,Windows 10,2.04,46661,100.45,1,0,1,0,0,0
517,Asus,Gaming,Intel Core i7,24,512GB SSD,Nvidia GeForce,Windows 10,2.24,265577,141.21,0,0,0,512,0,0
518,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.04,79548,141.21,0,0,0,256,0,0
519,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,134578,127.34,0,0,1,256,0,0
520,Lenovo,Gaming,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,125183,141.21,0,1,1,256,0,0
521,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.32,125183,165.63,0,1,0,256,0,0
522,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.64,114510,157.35,0,0,0,256,0,0
523,HP,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.63,61652,100.45,0,0,0,128,0,0
524,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Linux,2.8,79548,127.34,0,1,1,128,0,0
525,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 7,2.02,119903,157.35,0,0,0,256,0,0
526,Lenovo,Notebook,Intel Core i7,4,1TB HDD,Nvidia GeForce,Windows 10,2.2,71495,141.21,0,0,1,0,0,0
527,Lenovo,Notebook,Intel Core i3,8,2TB HDD,Nvidia GeForce,No OS,2.2,41071,100.45,0,0,2,0,0,0
528,Dell,Notebook,Intel Core i5,4,500GB HDD,AMD Radeon,Windows 10,2.3,52346,141.21,0,0,500,0,0,0
529,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.9,123214,141.21,0,0,0,256,0,0
530,Dell,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,269583,127.34,0,1,1,128,0,0
531,Toshiba,Notebook,Intel Core i5,8,500GB HDD,Intel HD,Windows 10,2.0,76953,141.21,0,1,500,0,0,0
532,Asus,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.0,116235,282.42,0,1,1,256,0,0
534,Asus,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,147553,141.21,0,1,1,128,0,0
535,Dell,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.93,122498,141.21,0,0,0,256,0,0
536,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.2,71352,141.21,0,0,0,256,0,0
537,HP,Notebook,Other Intel Processor,4,256GB SSD,Intel HD,Windows 10,1.86,35702,141.21,0,0,0,256,0,0
538,HP,Gaming,Intel Core i7,12,1TB HDD,Nvidia GeForce,Windows 10,2.62,160975,127.34,0,0,1,0,0,0
539,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.87,76863,157.35,0,1,0,256,0,0
540,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,125183,276.05,1,0,0,256,0,0
541,Dell,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.6,65846,157.35,0,0,0,128,0,0
542,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.34,102455,276.05,0,1,0,256,0,0
543,Acer,Gaming,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.4,71405,141.21,0,0,1,0,0,0
544,Asus,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,Windows 10,2.0,31229,100.45,0,0,500,0,0,0
545,HP,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.1,63128,141.21,0,0,0,128,0,0
546,Lenovo,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,1.87,70242,157.35,0,0,500,0,0,0
547,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Intel HD,No OS,2.15,41371,141.21,0,0,1,0,0,0
548,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,1.86,35524,141.21,0,0,500,0,0,0
549,Lenovo,Notebook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.99,154711,141.21,0,1,0,512,0,0
550,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.2,44651,141.21,0,0,0,128,0,0
551,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.9,99948,141.21,0,0,0,256,0,0
552,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,241507,127.34,0,1,1,256,0,0
553,HP,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.65,48691,106.11,0,0,1,0,0,0
554,HP,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.63,114534,127.34,0,0,1,0,0,0
555,Asus,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Linux,2.0,20044,100.45,0,0,500,0,0,0
557,Lenovo,Notebook,Intel Core i7,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,84917,106.11,0,0,1,128,0,0
558,HP,Notebook,AMD A-Series,6,128GB SSD,AMD Radeon,Windows 10,1.91,50905,141.21,0,1,0,128,0,0
559,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.18,55290,100.45,0,0,1,0,0,0
560,Acer,2 in 1 Convertible,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.25,31229,189.91,1,1,0,0,0,32
561,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.05,56372,141.21,0,0,0,128,0,0
562,HP,Ultrabook,Other Intel Processor,16,512GB SSD,Intel HD,Windows 10,1.16,175828,276.05,1,1,0,512,0,0
563,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,3.4,268351,127.34,0,1,0,256,0,0
564,Asus,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,75074,141.21,0,0,1,128,0,0
565,Dell,Ultrabook,Intel Core i5,8,128GB SSD,Intel UHD,Windows 10,1.21,143079,331.26,1,1,0,128,0,0
566,Dell,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,1.93,85811,100.45,0,0,500,0,0,0
568,Lenovo,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,2.2,30781,141.21,0,0,500,0,0,0
569,Lenovo,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.02,88585,111.94,0,0,500,0,0,0
570,HP,Workstation,Intel Core i5,8,500GB HDD,Nvidia Quadro,Windows 10,3.14,166521,106.11,0,0,500,0,0,0
571,HP,Notebook,Other Intel Processor,8,2TB HDD,Intel HD,Windows 10,1.94,34808,111.94,0,0,2,0,0,0
572,HP,Notebook,AMD A-Series,6,256GB SSD,AMD Radeon,Windows 10,1.95,58073,141.21,0,1,0,256,0,0
573,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.3,74268,141.21,0,0,0,256,0,0
574,Lenovo,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.05,61294,141.21,0,0,500,0,0,0
576,Toshiba,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.24,166880,157.35,1,0,0,512,0,0
577,Lenovo,Gaming,Intel Core i7,32,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.6,238285,127.34,0,1,1,256,0,0
578,MSI,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.14,244191,127.34,0,0,1,512,0,0
579,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.2,67021,141.21,0,0,0,256,0,0
581,Dell,Notebook,Intel Core i5,8,500GB HDD,Intel HD,Windows 10,1.9,90242,100.45,0,0,500,0,0,0
582,HP,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.49,64336,165.63,0,0,0,128,0,0
583,Dell,Notebook,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,1.93,137566,141.21,0,0,0,256,0,0
584,Dell,Netbook,Other Intel Processor,4,16GB Flash Storage,Intel HD,Chrome OS,1.26,26397,135.09,0,0,0,0,0,16
585,MSI,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.5,210189,127.34,0,0,1,128,0,0
586,HP,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.78,134041,127.34,0,1,1,256,0,0
587,Lenovo,Ultrabook,Intel Core i7,12,256GB SSD,Intel HD,Windows 10,1.4,149700,157.35,0,1,0,256,0,0
588,Lenovo,Notebook,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.2,54493,100.45,1,0,1,0,0,0
589,Asus,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.73,158380,127.34,0,1,1,128,0,0
590,Asus,2 in 1 Convertible,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.2,66126,100.45,1,0,1,0,0,0
591,Lenovo,Notebook,AMD A-Series,12,512GB SSD,AMD Radeon,Windows 10,2.2,84917,141.21,0,0,0,512,0,0
592,Dell,2 in 1 Convertible,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,1.39,53956,135.09,1,0,0,128,0,0
594,Lenovo,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.8,47335,127.34,0,0,500,0,0,0
595,Lenovo,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.29,41071,100.45,0,0,1,0,0,0
596,Lenovo,2 in 1 Convertible,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.37,181197,165.63,1,1,0,512,0,0
597,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.7,131894,157.35,0,1,0,256,0,0
598,Dell,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.34,149432,176.23,1,0,0,256,0,0
599,Dell,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.06,157753,141.21,1,0,0,256,0,0
600,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.84,109076,141.21,0,0,0,256,0,0
601,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.1,59816,100.45,0,0,500,0,0,0
602,Acer,Notebook,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.6,29439,157.35,0,0,0,0,0,32
603,MSI,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.14,196767,127.34,0,0,1,128,0,0
604,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.18,41608,100.45,0,0,1,0,0,0
605,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,1.8,205715,282.42,0,0,2,256,0,0
606,Toshiba,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.2,125183,141.21,0,1,0,256,0,0
607,Lenovo,Notebook,Intel Core i5,6,1TB HDD,Intel HD,Windows 10,2.4,50467,141.21,0,0,1,0,0,0
608,Lenovo,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.0,116235,141.21,1,1,0,256,0,0
609,Acer,Notebook,Other Intel Processor,4,128GB Flash Storage,Intel HD,Windows 10,1.6,31229,111.94,0,0,0,0,0,128
610,Lenovo,Notebook,Other Intel Processor,32,1TB SSD,Nvidia Quadro,Windows 10,2.5,438363,282.42,0,1,0,1,0,0
611,Dell,Gaming,Intel Core i7,16,1TB HDD,Nvidia GeForce,Windows 10,2.59,78654,141.21,0,0,1,0,0,0
612,Dell,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.18,39720,100.45,0,0,1,0,0,0
613,Dell,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.25,32123,100.45,0,0,1,0,0,0
614,Dell,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Linux,1.93,77758,100.45,0,0,500,0,0,0
615,Asus,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,104513,127.34,0,0,1,128,0,0
616,Dell,Notebook,Intel Core i5,4,128GB SSD,AMD Radeon,Linux,2.18,50914,141.21,0,0,0,128,0,0
617,HP,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.84,124288,141.21,0,0,0,512,0,0
618,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.94,202928,141.21,0,0,1,256,0,0
619,Acer,2 in 1 Convertible,Other Intel Processor,4,32GB Flash Storage,Intel HD,Chrome OS,1.25,33913,135.09,1,1,0,0,0,32
620,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.31,100576,111.94,0,0,0,256,0,0
621,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 7,1.65,131088,157.35,0,0,0,256,0,0
622,Dell,Notebook,Intel Core i5,4,1TB HDD,AMD Radeon,Windows 10,2.2,69436,141.21,0,0,1,0,0,0
624,HP,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 7,1.88,83395,100.45,0,0,500,0,0,0
625,Lenovo,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,80443,141.21,0,0,1,0,0,0
627,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,No OS,2.2,41877,141.21,0,0,0,128,0,0
628,Asus,2 in 1 Convertible,Intel Core i5,6,1TB HDD,Intel HD,Windows 10,1.5,57179,165.63,1,0,1,0,0,0
629,Dell,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,162854,141.21,0,0,0,256,0,0
630,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.1,170012,157.35,0,0,0,512,0,0
631,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,132341,141.21,0,0,1,256,0,0
632,Lenovo,Notebook,Intel Core i5,4,256GB SSD,Intel UHD,Windows 10,1.8,74179,141.21,0,0,0,256,0,0
633,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.2,51809,141.21,0,0,1,0,0,0
634,Asus,Notebook,Other Intel Processor,8,1TB HDD,Intel HD,Windows 10,2.0,35703,100.45,0,0,1,0,0,0
635,Asus,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,1.99,81124,141.21,0,0,1,0,0,0
636,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.23,167238,276.05,1,0,0,256,0,0
637,Lenovo,Notebook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.42,22281,111.94,0,0,0,0,0,32
638,Lenovo,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.37,157254,165.63,1,1,0,256,0,0
639,Dell,Notebook,Intel Core i7,16,1TB SSD,Nvidia GeForce,Windows 10,2.06,214663,282.42,1,0,0,1,0,0
640,Lenovo,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,99233,141.21,0,1,1,128,0,0
642,Lenovo,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.14,219226,157.35,0,1,0,512,0,0
643,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,No OS,2.5,104602,141.21,0,1,1,0,0,0
644,Acer,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.4,40266,100.45,0,0,500,0,0,0
645,Lenovo,Notebook,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.43,24518,111.94,0,0,0,0,0,32
646,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel Graphics,Windows 10,1.8,82232,157.35,0,1,0,256,0,0
648,Toshiba,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.2,108539,165.63,0,0,0,256,0,0
649,Lenovo,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.36,141736,176.23,0,1,0,256,0,0
650,Asus,Gaming,Intel Core i7,32,512GB SSD,Nvidia GeForce,Windows 10,3.8,250455,127.34,0,1,0,512,0,0
651,Acer,Gaming,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.4,63441,141.21,0,0,1,0,0,0
652,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.2,129737,165.63,0,0,0,256,0,0
653,MSI,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,106642,141.21,0,0,1,128,0,0
654,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,32651,100.45,0,0,500,0,0,0
655,Toshiba,Notebook,Intel Core i5,8,500GB HDD,Intel HD,Windows 10,2.0,95207,141.21,0,1,500,0,0,0
656,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,82232,141.21,0,0,0,256,0,0
657,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.2,101560,141.21,0,0,2,256,0,0
658,Lenovo,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.31,107018,141.21,0,1,1,128,0,0
659,Dell,Gaming,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,281627,254.67,0,1,1,512,0,0
660,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.56,109971,157.35,0,0,0,256,0,0
661,Lenovo,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,2.2,37492,100.45,0,0,500,0,0,0
